thisRow.t,notes,piloting,trial.started,text_instruction.started,R1.started,R2.started,R3.started,R4.started,R5.started,R6.started,R7.started,R8.started,B1.started,B2.started,B3.started,B4.started,B5.started,B6.started,B7.started,B8.started,V1.started,V2.started,V3.started,V4.started,V5.started,V6.started,V7.started,V8.started,J1.started,J2.started,J3.started,J4.started,J5.started,J6.started,J7.started,J8.started,trial.stopped,R1.numClicks,R1.timesOn,R1.timesOff,R2.numClicks,R2.timesOn,R2.timesOff,R3.numClicks,R3.timesOn,R3.timesOff,R4.numClicks,R4.timesOn,R4.timesOff,R5.numClicks,R5.timesOn,R5.timesOff,R6.numClicks,R6.timesOn,R6.timesOff,R7.numClicks,R7.timesOn,R7.timesOff,R8.numClicks,R8.timesOn,R8.timesOff,B1.numClicks,B1.timesOn,B1.timesOff,B2.numClicks,B2.timesOn,B2.timesOff,B3.numClicks,B3.timesOn,B3.timesOff,B4.numClicks,B4.timesOn,B4.timesOff,B5.numClicks,B5.timesOn,B5.timesOff,B6.numClicks,B6.timesOn,B6.timesOff,B7.numClicks,B7.timesOn,B7.timesOff,B8.numClicks,B8.timesOn,B8.timesOff,V1.numClicks,V1.timesOn,V1.timesOff,V2.numClicks,V2.timesOn,V2.timesOff,V3.numClicks,V3.timesOn,V3.timesOff,V4.numClicks,V4.timesOn,V4.timesOff,V5.numClicks,V5.timesOn,V5.timesOff,V6.numClicks,V6.timesOn,V6.timesOff,V7.numClicks,V7.timesOn,V7.timesOff,V8.numClicks,V8.timesOn,V8.timesOff,J1.numClicks,J1.timesOn,J1.timesOff,J2.numClicks,J2.timesOn,J2.timesOff,J3.numClicks,J3.timesOn,J3.timesOff,J4.numClicks,J4.timesOn,J4.timesOff,J5.numClicks,J5.timesOn,J5.timesOff,J6.numClicks,J6.timesOn,J6.timesOff,J7.numClicks,J7.timesOn,J7.timesOff,J8.numClicks,J8.timesOn,J8.timesOff,escu.started,Pasdeffort.started,__1.started,Trespeudeffort.started,__2.started,Peudeffort.started,__3.started,Effortmodere.started,__4.started,Effortconsiderable.started,__5.started,Beaucoupdeffort.started,Quedubruit.started,escu.stopped,Pasdeffort.numClicks,Pasdeffort.timesOn,Pasdeffort.timesOff,__1.numClicks,__1.timesOn,__1.timesOff,Trespeudeffort.numClicks,Trespeudeffort.timesOn,Trespeudeffort.timesOff,__2.numClicks,__2.timesOn,__2.timesOff,Peudeffort.numClicks,Peudeffort.timesOn,Peudeffort.timesOff,__3.numClicks,__3.timesOn,__3.timesOff,Effortmodere.numClicks,Effortmodere.timesOn,Effortmodere.timesOff,__4.numClicks,__4.timesOn,__4.timesOff,Effortconsiderable.numClicks,Effortconsiderable.timesOn,Effortconsiderable.timesOff,__5.numClicks,__5.timesOn,__5.timesOff,Beaucoupdeffort.numClicks,Beaucoupdeffort.timesOn,Beaucoupdeffort.timesOff,Quedubruit.numClicks,Quedubruit.timesOn,Quedubruit.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,True,0.022610199986957014,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.04197270004078746,0.8299838000675663,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.7875785001087934],[0.7875823000213131],0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-07-02_10h28.30.301,CRM_Spat,,2026.1.3,60.022820668509084,2026-07-02 10h28.31.200031 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8320687999948859,0.842994200065732,0.842994200065732,0.842994200065732,0.842994200065732,0.842994200065732,0.842994200065732,0.842994200065732,0.842994200065732,0.842994200065732,0.842994200065732,0.842994200065732,0.842994200065732,4.261906300089322,0,,,0,,,0,,,0,,,0,,,0,,,1,[3.418503899942152],[3.418507399968803],0,,,0,,,0,,,0,,,0,,,pilot,001,2026-07-02_10h28.30.301,CRM_Spat,,2026.1.3,60.022820668509084,2026-07-02 10h28.31.200031 +0200,
,,,4.262888099998236,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.2924080999800935,4.711968400049955,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.4191426000325009],[0.419146400061436],0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-07-02_10h28.30.301,CRM_Spat,,2026.1.3,60.022820668509084,2026-07-02 10h28.31.200031 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.713600700022653,4.74216470005922,4.74216470005922,4.74216470005922,4.74216470005922,4.74216470005922,4.74216470005922,4.74216470005922,4.74216470005922,4.74216470005922,4.74216470005922,4.74216470005922,4.74216470005922,5.094731100019999,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.3521668000612408],[0.35217020008713007],0,,,0,,,0,,,0,,,0,,,pilot,001,2026-07-02_10h28.30.301,CRM_Spat,,2026.1.3,60.022820668509084,2026-07-02 10h28.31.200031 +0200,
,,,5.09576040005777,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.125804200069979,5.528304600040428,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.40200669993646443],[0.4020104999653995],0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-07-02_10h28.30.301,CRM_Spat,,2026.1.3,60.022820668509084,2026-07-02 10h28.31.200031 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.528773300000466,5.542863800073974,5.542863800073974,5.542863800073974,5.542863800073974,5.542863800073974,5.542863800073974,5.542863800073974,5.542863800073974,5.542863800073974,5.542863800073974,5.542863800073974,5.542863800073974,5.961543900077231,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.4183067000703886],[0.41831000009551644],0,,,0,,,0,,,0,,,0,,,pilot,001,2026-07-02_10h28.30.301,CRM_Spat,,2026.1.3,60.022820668509084,2026-07-02 10h28.31.200031 +0200,
